Code,Name,CompanyName,Pack,Mrp
34659,ACMIST MOISTURISING GEL 50GM,BRINTON,50GM,399
32669,ACNE OC 75GM,IPCA LABORAT,75GM,576
34901,ACNE UV GEL 30GM,IPCA LABORAT,30GM,472.5
23304,ACNE UV GEL 60GM,IPCA LABORAT,60GM,837
29837,ACNE UV GEL SPF +,IPCA LABORAT,30GM,472.5
37171,ACNE UV GEL SPF 30,IPCA LABORAT,100GM,1550
31935,ACNE UV SPF 50 PA GEL 50GM,IPCA LABORAT,50GM,915
24634,ACNEBENZ GEL 20GM,SANSTUTI PHR,20GM,90
28656,ACNECHIO AB TAB ( BOTTEL 30 ),SENECHIO,30TAB,999
32460,ACNECHIO BODY SPRAY 100ML,SENECHIO,100ML,0
32461,ACNECHIO BODY SPRAY 50ML,SENECHIO,50ML,0
32462,ACNECHIO FOAMING FACE WASH,SENECHIO,100ML,0
32463,ACNECHIO GEL FACE WASH,SENECHIO,100ML,599
32464,ACNECHIO M TAB,SENECHIO,30TAB,999
32466,ACNECHIO OD TAB,SENECHIO,10TAB,319
32465,ACNECHIO-M TAB,SENECHIO,10TAB,0
25245,ACNEDAP GEL 15GM,CIPLA,15GM,481.85
18107,ACNEDAP PLUS GEL 15G,CIPLA,15GM,465.85
28357,ACNEDIS SOAP 75GM,BRAWN CO,75GM,75
27387,ACNELAK 4 IN 1 FACE WASH 100ML,MENARINI,100ML,360
19280,ACNELAK SOAP,MENARINI,75GM,130
17649,ACNELAK-CLZ CREAM,MENARINI,15GM,110
26024,ACNEMOIST CREAM  60 GM,CURATIO,60GM,409
27542,ACNEMOIST CREAM 30GM,CURATIO,30GM,340
34662,ACNESCAR GEL,BRINTON,15GM,775
112,ACNESOL GEL 20G,SYSTOPIC,20GM,104
7773,ACNESOL NC GEL 20G,SYSTOPIC,20GM,109
88,ACNESOL SOLUTION,SYSTOPIC,25ML,106
6602,ACNESOL-A NANO GEL 15G,SYSTOPIC,15GM,225
1829,ACNESOL-CL GEL,SYSTOPIC,15GM,70
1976,ACNESOL-CL LOTION,SYSTOPIC,30ML,61.15
25676,ACNESTAR FACEWASH 50GM,MANKIND OTC,50GM,150
9728,ACNESTAR GEL 22GM,MANKIND OTC,22GM,120
9764,ACNESTAR SOAP 75G,MANKIND OTC,75GM,105
6142,ACNETHRO SOAP,SALVEPH,100GM,162
6334,ACNETHRO-C GEL,SALVEPH,20GM,138
6903,ACNETOR AD GEL,TORRENT,15GM,375
31393,ACNEWAR PLUS GEL,AKUMENTIS,15GM,328
17765,ACNICIN GEL  15 GM 15,ALEMBIC,15GM,0
29536,ACNIN FACE PACK 50GM,APPLE THERAP,50GM,357
30384,ACNOFIGHT FACEWASH 100GM,GARNIER,100GM,239
25048,ACNOFIGHT FACEWASH 50ML,GARNIER,50ML,119
36212,ACNOLA ACNE FACE WASH 100ML,MECONUS,100ML,590
20718,ACNOVATE GEL,APEX PHA,15GM,288.8
21104,ACNOVATE SOAP,APEX PHA,75GM,149
30741,ACOGUT 300 ER,LUPIN,10TAB,465.05
18739,ACOGUT TAB,LUPIN,15TAB,289.5
34796,ACOTIBIEN 300 SR TAB,LA RENON,10TAB,360
25919,ACOTIBIEN TAB,LA RENON,10TAB,209
7510,ACOTRUST 100MG,DR REDDY,15TAB,289.5
26582,ACOTRUST OD TAB,DR REDDY,10TAB,423.5
6732,ACROFY LOTION 50GM,ERIS PHA,50GM,792
2769,ACROTAC 10MG CAP,RANBAXY,20CAP,792
2757,ACROTAC 25MG CAP,RANBAXY,20CAP,1570
22254,ACRUX CREP 10CM*4M,AC SURGI,10CM*4M,216.5
22788,ACRUX CREP 15CM*4M,AC SURGI,15CM*4M,325
22255,ACRUX CREP 6CM*4M,AC SURGI,6CM*4M,130
22256,ACRUX CREP 8CM*4M,AC SURGI,8CM*4M,173
31422,ACT NVP  TAB,AKUMENTIS,10TAB,84.69
21460,ACTAPRO OD  TAB,SUN PHARMA,10TAB,404
13428,ACTAPRO TAB,SUN PHARMA,15TAB,262.5
13771,ACTIBILE 150 TAB,ZYDUS CA,10TAB,236.8
13776,ACTIBILE 300 TAB,ZYDUS CA,10TAB,458.9
13778,ACTIBILE 75,ZYDUS CA,10TAB,141.4
36685,ACTICOLIN P TAB,ZUNISON,10TAB,795
31295,ACTIGABA NT 400,AAREEN H,10TAB,244.9
8695,ACTIGAUT,ALEMBIC,10TAB,0
33677,ACTIHEAL TAB,MACLEODS,15TAB,338
37259,ACTILIFE DIA,APEX PHA,200GM,255
33156,ACTILIFE MOM 200GM,APEX PHA,200GM,296
19661,ACTILIFE TAB,APEX PHA,15TAB,118
35432,ACTINIC D3 NANO SHOTS,MAXIS HE,5ML,79
29722,ACTIS C2 FORTE,PHARMED,10TAB,870
14129,ACTIS C2 TAB,PHARMED,10TAB,350
27216,ACTIV  KID UNO BIOTICS JUNIOR,CIPLA,10*1GM,49
27217,ACTIV START UNO BIOTICS ADULTS,CIPLA,10*1GM,49
26632,ACTIVE BABY LG SUPER JUMBO,P&G,1,1749
24841,ACTIVE BABY NB ECON,P&G,1,399
33815,ACTIVE BABY NB JUMBO,P&G,72PCS,1099
26209,ACTIVE BABY NB REG,P&G,REGULAR,99
28461,ACTIVE BABY SM ECON,P&G,1PCS,399
32774,ACTIVE BABY XL SUPER JUMBO,P&G,1N,1749
26196,ACTIVE BABY XL VALUE,P&G,XL,999
19559,ACTIVE D CAPSULE,STEDFAST,30CAP,330
35794,ACTIVE MF CREAM,P&G,100GM,374
31008,ACTIVISION CAP,PROVIS B,10CAP,299
21004,ACTOID 10 CAP,INTAS PH,10CAP,390
19675,ACTOID 25MG CAPSULE,INTAS PH,10CAP,675
34907,ACTRAPID FLEXPEN 100 IU,NOVO NOR,3ML,0
18407,ACTRAPID HM 100IU/ML PENFILL,NOVO NOR,1TAB,569.8
17897,ACTRAPID HM PENFILL 3ML,NOVO NOR,3ML,1929.95
14195,ACUCAL TAB,SUN PHARMA,10TAB,92
8111,ACUCLAV 375,MACLEODS,1*6,94
8112,ACUCLAV 625 TAB,MACLEODS,10TAB,189.12
7993,ACULAR-LS EYE DROP,ALLERGAN,5ML,155.15
32551,ACUNUS GEL,MECONUS,20 ML,550
8691,ACUPAT E`D,ALLERGAN,5ML,239.63
8392,ACUTRET 10MG CAP,IPCA LABORAT,10CAP,205.5
8393,ACUTRET 20MG CAP,IPCA LABORAT,10CAP,289
10014,ACUTRET 30MG CAP,IPCA LABORAT,10CAP,335
10022,ACUTRET 40MG CAP,IPCA LABORAT,10CAP,0
14236,ACUTRET 5MG CAP,IPCA LABORAT,10CAP,113.65
19512,ACUTROL C 400 TAB,INTAS PH,15TAB,177
29173,ACUTROL C 800 TAB,INTAS PH,10TAB,217
33221,ACUTUS D 100ML,CASCADE,100ML,110
20201,ACUVERT TABLET,ABBOTT INDIA,15TAB,0
15143,ACUVIN TAB,ABBOTT HEALT,15TAB,250.42
29020,AD GOLD Q10 TAB,ADINEX H,10TAB,0
24201,AD MELA TX  SERUM,ADONIS,30GM,598
8047,ADAFERIN 0.1% GEL,GALDERMA,15GM,310
5025,ADALENE NANOGEL,ZYDUS CA,15GM,369
24614,ADALIA MOISTARIZING CREAM 50GM,SANSTUTI PHR,50GM,149
24624,ADALIA MOISTARIZING LOTION 100ML,SANSTUTI PHR,100ML,218
24613,ADALIA MOISTARIZING SOAP 75GM,SANSTUTI PHR,75GM,146
24650,ADALIA PROTEIN SHAMPOO 200ML,SANSTUTI PHR,200ML,260
31109,ADAPLE-C GEL 15GM,WALLACE,15GM,272
31400,ADAPURE GEL,ICEBERG,20GM,300
23418,ADB MIN MULTIPOWER SYP,TORQUE PHARM,200ML,119
31302,ADBOOST PRO ACTIVE,ADONIS,30TAB,274
18075,ADBOOST TAB,ADONIS,10TAB,299
30988,ADBROM EYE DROP,ENTOD PH,5ML,165
23149,ADCAPONE TAB,SUN PHARMA,10CAP,90
22151,ADCEF INSTAUSE SYP 30ML,TORRENT,30ML,152.35
21821,ADCOX P,ADZO,10TAB,90
29483,ADCROSS AQUAGEL SPF50+,ADONIS,75ML,994
24202,ADCROSS SPF-50 LOTION,ADONIS,75ML,796
34656,ADCROSS Z-20 SUNSCREEN AQUA GEL,ADONIS,60ML,1093
16115,ADD APP SYP,CADILA H,200ML,92.5
8619,ADD TEARS LUBRICANT EYE DROP,CIPLA,10ML,137.76
36583,ADDEX OINTMENT,FRANCO I,10GM,175
37009,ADDEX POWDER,FRANCO I,10GM,275
34502,ADDKAY 750MG TAB,STEDFAST,10TAB,100
36916,ADDNA TAB,STEDFAST,10TAB,60
18409,ADDPHOS  SACHET,STEDFAST,3.2GM,367.5
16937,ADDPHOS GRANULES 3.2,STEDFAST,3.2GM,24.5
26927,ADDWET EYE DROP 10ML,Vyonics,10ML,136
35994,ADDWET GEL EYE DROP,Vyonics,10ML,185
35996,ADDWET NEO EYE DROP,Vyonics,10ML,240
35995,ADDWET ON GEL,Vyonics,10GM,264
25848,ADDYZOA TAB,CHARAK P,20TAB,200
14514,ADELINA CREAM,FLORENCI,50GM,118.45
14345,ADELINE MOIS SOAP,FLORENCI,PACK,129.95
29745,ADEMETH TAB,EDURA PH,10TAB,720
18861,ADENOSYL OD SOFT GELATIN CAP,BIOPLASMA,10CAP,143
33072,ADENSOYL SE 200,BIOPLASMA,10TAB,235
33073,ADENSOYL SE 400,BIOPLASMA,10TAB,440
22420,ADERMA FOAMING GEL 100ML,ABBOTT INDIA,100ML,690
27630,ADESAM 200 TAB,SUN PHARMA,10TAB,485
13710,ADESAM 400 TAB,SUN PHARMA,10TAB,844
20090,ADFEROL CAP,STEDFAST,4CAP,0
34585,ADFOSS SACHET,STEDFAST,1SACHET,0
14385,ADGAIN PLUS CAP,CIPLA,10CAP,268.83
14332,ADGAIN PLUS CAP,CIPLA,30CAP,690
6227,ADGRACE,ZENVITA,,
,15TAB,225,0,
8630,ADGRACE FAIR,ZENVITA,,
,15TAB,1499,0,
